GAME_TITLE,CONSOLE_NUM,DATE_FIRST_RELEASED,GAME_SERIES,ID,CUSTOM,CUSTOM_NAME,REMAKE_RMSTR_RRLSE,REMAKE_RMSTR_RRLSE NAME,REGION,DIRECT_SEQUEL
Castlevania Judgment,05,,CASTLEVANIA,00235,,,,,,
Castlevania Legends,09,,CASTLEVANIA,00236,,,,,,
Castlevania Requiem,15,,CASTLEVANIA,00237,,,,,,
Castlevania: Aria of Sorrow,08,,CASTLEVANIA,00238,,,,,,
Castlevania: Bloodlines,22,,CASTLEVANIA,00239,,,,,,
Castlevania: Circle of the Moon,08,,CASTLEVANIA,00240,,,,,,
Castlevania: Curse of Darkness,13,,CASTLEVANIA,00241,,,,,,
Castlevania: Curse of Darkness,35,,CASTLEVANIA,00242,,,,,,
Castlevania: Dawn of Sorrow,07,,CASTLEVANIA,00243,,,,,,
Castlevania: Dracula X,02,,CASTLEVANIA,00244,,,,,,
Castlevania: Harmony of Despair,51,,CASTLEVANIA,00245,,,,,,
Castlevania: Harmony of Despair,52,,CASTLEVANIA,00246,,,,,,
Castlevania: Harmony of Dissonance,08,,CASTLEVANIA,00247,,,,,,
Castlevania: Lament of Innocence,13,,CASTLEVANIA,00248,,,,,,
Castlevania: Legacy of Darkness,03,,CASTLEVANIA,00249,,,,,,
Castlevania: Lords of Shadow,14,,CASTLEVANIA,00250,,,,,,
Castlevania: Lords of Shadow,32,,CASTLEVANIA,00251,,,,,,
Castlevania: Lords of Shadow,37,,CASTLEVANIA,00252,,,,,,
Castlevania: Lords of Shadow - Mirror of Fate,11,,CASTLEVANIA,00253,,,,,,
Castlevania: Lords of Shadow - Mirror of Fate,14,,CASTLEVANIA,00254,,,,,,
Castlevania: Lords of Shadow - Mirror of Fate,32,,CASTLEVANIA,00255,,,,,,
Castlevania: Lords of Shadow - Mirror of Fate,37,,CASTLEVANIA,00256,,,,,,
Castlevania: Lords of Shadow 2,14,,CASTLEVANIA,00257,,,,,,
Castlevania: Lords of Shadow 2,37,,CASTLEVANIA,00258,,,,,,
Castlevania: Lords of Shadow2 ,32,,CASTLEVANIA,00259,,,,,,
Castlevania: Order of Ecclesia,07,,CASTLEVANIA,00260,,,,,,
Castlevania: Portrait of Ruin,07,,CASTLEVANIA,00261,,,,,,
Castlevania: Rondo of Blood,55,,CASTLEVANIA,00262,,,,,,
Castlevania: Symphony of the Night,12,,CASTLEVANIA,00263,,,,,,
Castlevania: Symphony of the Night,25,,CASTLEVANIA,00264,,,,,,
Castlevania: Symphony of the Night,51,,CASTLEVANIA,00265,,,,,,
Castlevania: Symphony of the Night,52,,CASTLEVANIA,00266,,,,,,
Castlevania: The Adventure,09,,CASTLEVANIA,00267,,,,,,
Castlevania: The Adventure ReBirth,50,,CASTLEVANIA,00268,,,,,,
Castlevania: The Dracula X Chronicles,19,,CASTLEVANIA,00269,,,,,,
Cave Story,11,,,00270,,,,,,
Cave Story 3D,11,,,00271,,,,,,
Centipede,09,,,00272,,,,,,
Chibi-Robo!,04,200506,CHIBI_ROBO,00273,,,,,,
Chibi-Robo! Photo Finder,11,201307,CHIBI_ROBO,00274,,,,,,
Chibi-Robo! Zip Lash,11,201510,CHIBI_ROBO,00275,,,,,,
Chibi-Robo!: Park Patrol,07,200707,CHIBI_ROBO,00276,,,,,,
Children of Mana,07,200603,MANA,00277,,,,,,
Chip n Dale Rescue Rangers,01,,,00278,,,,,,
Chip n Dale Rescue Rangers 2,01,,,00279,,,,,,
Chocobo Racing,12,,,00280,,,,,,
Chocobo's Dungeon 2,12,,,00281,,,,,,
Chrono Cross,12,,,00282,,,,,,
Chrono Trigger,02,,,00283,,,,,,
Chrono Trigger,07,,,00284,,,,,,
Chrono Trigger,12,,,00285,,,,,,
ChuChu Rocket!,08,,,00286,,,,,,
Classic NES Series: Bomberman,08,,,00287,,,,,,
Classic NES Series: Castlevania,08,,CASTLEVANIA,00288,,,,,,
Classic NES Series: Donkey Kong,08,,,00289,,,,,,
Classic NES Series: Dr. Mario,08,,,00290,,,,,,
Classic NES Series: Excitebike,08,200402,EXCITE,00291,,,,,,
Classic NES Series: Ice Climber,08,,,00292,,,,,,
Classic NES Series: Metroid,08,,METROID,00293,,,,,,
Classic NES Series: Pac-Man,08,,,00294,,,,,,
Classic NES Series: Super Mario Bros.,08,,MARIO_SUPER,00295,,,,,,
Classic NES Series: The Legend of Zelda,08,,ZELDA,00296,,,,,,
Classic NES Series: Xevious,08,,,00297,,,,,,
Classic NES Series: Zelda II: The Adventure of Link,08,,ZELDA,00298,,,,,,
Clay Fighter Sculptor's Cut,03,,,00299,,,,,,
ClayFighter,02,,,00300,,,,,,
ClayFighter 2: Judgement Clay,02,,,00301,,,,,,
ClayFighter 63 1/3,03,,,00302,,,,,,
ClayFighter: Tournament Edition,02,,,00303,,,,,,
Clock Tower,12,,,00304,,,,,,
Clock Tower: The First Fear,12,,,00305,,,,,,
Clu Clu Land,01,,,00306,,,,,,
Clubhouse Games,07,200511,CLUBHOUSE_GAMES,00307,,,,,,
Clubhouse Games: 51 Worldwide Classics,17,202006,CLUBHOUSE_GAMES,00308,,,,,,
Code Name: S.T.E.A.M.,11,,,00309,,,,,,
Columns Crown,08,,,00310,,,,,,
Comix Zone,08,,,00311,,,,,,
Conker's Bad Fur Day,03,,,00312,,,,,,
Conker's Pocket Tales,10,,,00313,,,,,,
Contact,07,,,00314,,,,,,
Contra,01,,,00315,,,,,,
Contra 4,07,,,00316,,,,,,
Contra Advance: The Alien Wars EX,08,,,00317,,,,,,
Contra Force,01,,,00318,,,,,,
Contra III: The Alien Wars,02,,,00319,,,,,,
Contra: Legacy of War,12,,,00320,,,,,,
Contra: The Alien Wars,09,,,00321,,,,,,
Cooking Mama,07,,,00322,,,,,,
Cooking Mama 2: Dinner with Friends,07,,,00323,,,,,,
Cooking Mama 3: Shop & Chop,07,,,00324,,,,,,
Cooking Mama 4: Kitchen Magic,11,,,00325,,,,,,
Cooking Mama 5: Bon Appétit!,11,,,00326,,,,,,
Cooking Mama: Cook Off,05,,,00327,,,,,,
Cooking Mama: Sweet Shop,11,,,00328,,,,,,
Cooking Mama: World Kitchen,05,,,00329,,,,,,
Corpse Party,11,,,00330,,,,,,
Crafting Mama,07,,,00331,,,,,,
Crash Bandicoot,12,,,00332,,,,,,
Crash Bandicoot 2: Cortex Strikes Back,12,,,00333,,,,,,
Crash Bandicoot 2: N-Tranced,08,,,00334,,,,,,
Crash Bandicoot 3: Warped,12,,,00335,,,,,,
Crash Bandicoot Purple: Ripto's Rampage,08,,,00336,,,,,,
Crash Bandicoot: The Huge Adventure,08,,,00337,,,,,,
Crash Bandicoot: The Wrath of Cortex,04,,,00338,,,,,,
Crash Bash ,12,,,00339,,,,,,
Crash Boom Bang!,07,,,00340,,,,,,
Crash Nitro Kart,04,,,00341,,,,,,
Crash Nitro Kart,08,,,00342,,,,,,
